rezultatai
    -----------|    ----------|    ---------------|    ------------------------------|
    pavadinimas|        kiekis|              kaina|       uzsakymo grupavimo indeksas|
    -----------|    ----------|    ---------------|    ------------------------------|
         ZYTREX|             2|        1325.729980|                               510|
        FOSSIEL|             1|        3118.010010|                               510|
      MAGNAFONE|             1|        3305.370117|                               548|
        PYRAMAX|             2|        1909.339966|                               656|
         ECRAZE|             2|        3546.320068|                              1006|
      ECLIPSENT|             4|        1533.900024|                              1102|
       VALPREAL|             3|        2573.229980|                              1178|
      COMBOGENE|             4|        2098.340088|                              1336|
          ZIORE|             7|        1859.300049|                              1838|
      ZILLATIDE|             6|        2073.949951|                              1910|
          UPDAT|             6|        2395.219971|                              1928|
        JIMBIES|             4|        3681.489990|                              1938|
       ORBIFLEX|            11|        1015.659973|                              2042|
        DANCITY|             7|        2348.419922|                              2272|
       MAROPTIC|             6|        2937.689941|                              2388|
           ZOXY|            12|        1441.510010|                              2406|
          ZYPLE|            11|        1566.119995|                              2432|
        XELEGYL|             7|        3052.449951|                              2774|
       SONGBIRD|             6|        3700.189941|                              2840|
      INTERODEO|             6|        3805.139893|                              2952|
       TASMANIA|             7|        3549.459961|                              3152|
      GEEKETRON|             7|        3573.530029|                              3224|
            KOG|            21|        1269.790039|                              3380|
          GAZAK|            15|        1875.910034|                              3600|
      BLUPLANET|            14|        1981.119995|                              3944|
      ISOSTREAM|            14|        2006.910034|                              4000|
       GORGANIC|            24|        1056.869995|                              4148|
        COMTEXT|            16|        2059.580078|                              4362|
         PYRAMI|            20|        1798.030029|                              4696|
      KINETICUT|            16|        2185.489990|                              4758|
        ISOPLEX|            23|        1546.560059|                              4958|
          BOINK|            18|        2461.280029|                              5220|
       REVERSUS|            22|        1765.000000|                              5396|
       RODEOMAD|            26|        1505.160034|                              5532|
         EGYPTO|            27|        1543.650024|                              5534|
         ZYTRAX|            20|        2233.139893|                              5558|
       HYDROCOM|            24|        1664.150024|                              5562|
        KOZGENE|            28|        1451.739990|                              5632|
         BALUBA|            15|        3419.340088|                              5836|
          ERSUM|            16|        3530.620117|                              6302|
          XPLOR|            37|        1380.349976|                              6594|
        GRUPOLI|            29|        1737.449951|                              6608|
       RENOVIZE|            22|        2459.080078|                              6760|
      ELECTONIC|            33|        1423.010010|                              6838|
        SPORTAN|            36|        1363.260010|                              6848|
       ONTALITY|            18|        3430.030029|                              7224|
       HOTCAKES|            28|        2122.000000|                              7488|
          XYLAR|            34|        1840.160034|                              7498|
         DUFLEX|            34|        2006.109985|                              8168|
         MEDIOT|            29|        2523.750000|                              8382|
         PERKLE|            27|        2962.790039|                              8898|
      COMVERGES|            39|        1684.130005|                              8914|
          OBLIQ|            22|        3866.639893|                              9012|
           CAXT|            29|        2953.110107|                              9110|
          ZOLAR|            23|        3759.000000|                              9204|
          INEAR|            24|        3749.300049|                              9482|
       ROUGHIES|            27|        3079.510010|                              9566|
       NETILITY|            30|        2852.620117|                              9964|
         EXPOSA|            36|        2487.969971|                             10124|
      PARLEYNET|            27|        3861.620117|                             11558|
          BOLAX|            31|        3617.530029|                             11626|
      INTERFIND|            29|        3625.570068|                             11708|
      MOBILDATA|            35|        3015.750000|                             12018|
       TERSANKI|            33|        3323.189941|                             12142|
       INSURITY|            35|        3410.080078|                             13184|
      COGNICODE|            40|        3700.209961|                             15836|
duomenys
    -----------|    ----------|    ---------------|
    pavadinimas|        kiekis|              kaina|
    -----------|    ----------|    ---------------|
        POLARIA|            29|        3169.770020|
           CAXT|            29|        2953.110107|
          INEAR|            24|        3749.300049|
        MYOPIUM|            30|        2685.139893|
          BOLAX|            31|        3617.530029|
        ECRATER|             6|        2839.370117|
      INTERODEO|             6|        3805.139893|
         ZYTREX|             2|        1325.729980|
          LUDAK|            33|        1165.170044|
         FROLIX|            14|        1161.760010|
      OPPORTECH|            24|        2990.389893|
       CANOPOLY|            21|        2291.060059|
       MAROPTIC|             6|        2937.689941|
        DANCITY|             7|        2348.419922|
      BLUPLANET|            14|        1981.119995|
        BIOSPAN|            12|        3943.709961|
        COREPAN|            10|        1664.339966|
        OPTIQUE|            20|        3106.780029|
         ECRAZE|             2|        3546.320068|
        EVEREST|            39|        2173.350098|
          SAVVY|            19|        3127.080078|
         ZOUNDS|             8|        3904.959961|
      COMBOGENE|             4|        2098.340088|
       ARCHITAX|            29|        1643.479980|
        PROSURE|            38|        1019.330017|
      AQUASSEUR|             8|        3515.090088|
      PEARLESSA|            25|        1332.329956|
         ZYTRAX|            20|        2233.139893|
        ENDIPIN|            34|        2026.199951|
       BULLZONE|            18|        1303.380005|
         BLEEKO|            12|        1581.890015|
          ACIUM|            16|        2363.780029|
          PULZE|             3|        2328.479980|
          GOGOL|            16|        3512.399902|
      INTERFIND|            29|        3625.570068|
      ECLIPSENT|             4|        1533.900024|
        TUBALUM|             5|        1094.180054|
         DOGSPA|            24|        3584.989990|
       REVERSUS|            22|        1765.000000|
         ZIZZLE|            25|        1127.750000|
      COMVERGES|            39|        1684.130005|
        JIMBIES|             4|        3681.489990|
         BIFLEX|            25|        2981.709961|
       RENOVIZE|            22|        2459.080078|
      MOBILDATA|            35|        3015.750000|
       SILODYNE|            31|        1295.339966|
       PROXSOFT|            14|        1306.930054|
          ERSUM|            16|        3530.620117|
          AMRIL|            19|        3404.199951|
      CORIANDER|            26|        1985.270020|
           DYNO|            11|        3964.909912|
       ENTROPIX|            11|        1143.750000|
       NETILITY|            30|        2852.620117|
         CIRCUM|             7|        3869.939941|
          UNEEQ|            33|        3140.760010|
       HYDROCOM|            24|        1664.150024|
        ATOMICA|            32|        1046.739990|
      PARLEYNET|            27|        3861.620117|
       ORBIXTAR|             1|        2132.050049|
         EGYPTO|            27|        1543.650024|
      KNOWLYSIS|            26|        3797.330078|
        SPORTAN|            36|        1363.260010|
         EXPOSA|            36|        2487.969971|
       HOTCAKES|            28|        2122.000000|
        GEOFARM|             8|        1063.010010|
         VELITY|            31|        1138.430054|
      BARKARAMA|            27|        2349.330078|
       BIZMATIC|            35|        1788.579956|
        FOSSIEL|             1|        3118.010010|
       ROUGHIES|            27|        3079.510010|
      ELECTONIC|            33|        1423.010010|
        KOZGENE|            28|        1451.739990|
       FISHLAND|            28|        1029.930054|
       AQUAFIRE|            29|        2267.260010|
       EXOPLODE|             4|        2729.979980|
       ONTALITY|            18|        3430.030029|
          BOINK|            18|        2461.280029|
         UPLINX|            37|        3115.699951|
          VIRVA|             2|        2178.629883|
       TALKALOT|            23|        1838.520020|
            KOG|            21|        1269.790039|
          XPLOR|            37|        1380.349976|
       GEEKULAR|            28|        3165.989990|
      KINETICUT|            16|        2185.489990|
      COGNICODE|            40|        3700.209961|
          ZOLAR|            23|        3759.000000|
       TASMANIA|             7|        3549.459961|
